# s_m; t_s; f_x_fl_N; f_y_fl_N; f_z_fl_N; f_x_fr_N; f_y_fr_N; f_z_fr_N;f_x_rl_N; f_y_rl_N; f_z_rl_N; f_x_rr_N;f_y_rr_N; f_z_rr_N;
11.4; 2.703; 2.9; 0.0; 9.6; 2.9; 0.0; 9.6; 3.5; 0.0; 11.5; 3.5; 0.0; 11.5
11.7; 2.746; 2.9; 0.0; 9.6; 2.9; 0.0; 9.6; 3.5; 0.0; 11.6; 3.5; 0.0; 11.6
12.0; 2.789; 2.9; 0.0; 9.7; 2.9; 0.0; 9.7; 3.5; 0.0; 11.6; 3.5; 0.0; 11.6
12.3; 2.831; 2.9; 0.0; 9.7; 2.9; 0.0; 9.7; 3.5; 0.0; 11.7; 3.5; 0.0; 11.7
12.6; 2.873; 2.9; 0.0; 9.7; 2.9; 0.0; 9.7; 3.5; 0.0; 11.7; 3.5; 0.0; 11.7
12.9; 2.914; 2.9; 0.0; 9.8; 2.9; 0.0; 9.8; 3.5; 0.0; 11.8; 3.5; 0.0; 11.8
13.2; 2.955; 2.9; 0.0; 9.8; 2.9; 0.0; 9.8; 3.6; 0.0; 11.8; 3.6; 0.0; 11.8
13.5; 2.995; 3.0; 0.0; 9.9; 3.0; 0.0; 9.9; 3.6; 0.0; 11.9; 3.6; 0.0; 11.9
13.8; 3.035; 3.0; 0.0; 9.9; 3.0; 0.0; 9.9; 3.6; 0.0; 11.9; 3.6; 0.0; 11.9
14.1; 3.074; 3.0; 0.0; 9.9; 3.0; 0.0; 9.9; 3.6; 0.0; 12.0; 3.6; 0.0; 12.0
14.4; 3.113; 3.0; 0.0; 10.0; 3.0; 0.0; 10.0; 3.6; 0.0; 12.0; 3.6; 0.0; 12.0
14.7; 3.151; 3.0; 0.0; 10.0; 3.0; 0.0; 10.0; 3.6; 0.0; 12.1; 3.6; 0.0; 12.1
15.0; 3.189; 3.0; 0.0; 10.0; 3.0; 0.0; 10.0; 3.6; 0.0; 12.1; 3.6; 0.0; 12.1
15.3; 3.226; 3.0; 0.0; 10.1; 3.0; 0.0; 10.1; 3.7; 0.0; 12.2; 3.7; 0.0; 12.2
15.6; 3.263; 3.0; 0.0; 10.1; 3.0; 0.0; 10.1; 3.7; 0.0; 12.2; 3.7; 0.0; 12.2
15.9; 3.300; 3.0; 0.0; 10.1; 3.0; 0.0; 10.1; 3.7; 0.0; 12.3; 3.7; 0.0; 12.3
16.2; 3.336; 3.0; 0.0; 10.2; 3.0; 0.0; 10.2; 3.7; 0.0; 12.3; 3.7; 0.0; 12.3
16.5; 3.372; 3.1; 0.0; 10.2; 3.1; 0.0; 10.2; 3.7; 0.0; 12.4; 3.7; 0.0; 12.4
16.8; 3.408; 3.1; 0.0; 10.2; 3.1; 0.0; 10.2; 3.7; 0.0; 12.4; 3.7; 0.0; 12.4
17.1; 3.443; 3.1; 0.0; 10.3; 3.1; 0.0; 10.3; 3.7; 0.0; 12.5; 3.7; 0.0; 12.5
17.4; 3.478; 3.1; 0.0; 10.3; 3.1; 0.0; 10.3; 3.8; 0.0; 12.5; 3.8; 0.0; 12.5
17.7; 3.513; 3.1; 0.0; 10.3; 3.1; 0.0; 10.3; 3.8; 0.0; 12.5; 3.8; 0.0; 12.5
18.0; 3.547; 3.1; 0.0; 10.4; 3.1; 0.0; 10.4; 3.8; 0.0; 12.6; 3.8; 0.0; 12.6
18.3; 3.581; 3.1; 0.0; 10.4; 3.1; 0.0; 10.4; 3.8; 0.0; 12.6; 3.8; 0.0; 12.6
18.6; 3.615; 3.1; 0.0; 10.4; 3.1; 0.0; 10.4; 3.8; 0.0; 12.7; 3.8; 0.0; 12.7
18.9; 3.649; 3.1; 0.0; 10.5; 3.1; 0.0; 10.5; 3.8; 0.0; 12.7; 3.8; 0.0; 12.7
19.2; 3.682; 3.1; 0.0; 10.5; 3.1; 0.0; 10.5; 3.8; 0.0; 12.8; 3.8; 0.0; 12.8
19.5; 3.715; 3.2; 0.0; 10.5; 3.2; 0.0; 10.5; 3.8; 0.0; 12.8; 3.8; 0.0; 12.8
19.8; 3.748; 3.2; 0.0; 10.6; 3.2; 0.0; 10.6; 3.9; 0.0; 12.9; 3.9; 0.0; 12.9
20.1; 3.780; 3.2; 0.0; 10.6; 3.2; 0.0; 10.6; 3.9; 0.0; 12.9; 3.9; 0.0; 12.9
20.4; 3.812; 3.2; 0.0; 10.6; 3.2; 0.0; 10.6; 3.9; 0.0; 12.9; 3.9; 0.0; 12.9
20.7; 3.845; 3.2; 0.0; 10.6; 3.2; 0.0; 10.6; 3.9; 0.0; 13.0; 3.9; 0.0; 13.0
21.0; 3.876; 3.2; -0.0; 10.7; 3.2; -0.0; 10.7; 3.9; -0.0; 13.0; 3.9; -0.0; 13.0
21.3; 3.908; 3.2; -0.0; 10.7; 3.2; -0.0; 10.7; 3.9; -0.0; 13.1; 3.9; -0.0; 13.1
21.6; 3.940; 3.2; -0.1; 10.8; 3.2; -0.1; 10.7; 3.9; -0.1; 13.1; 3.9; -0.1; 13.1
21.9; 3.971; 3.2; -0.1; 10.8; 3.2; -0.1; 10.7; 3.9; -0.1; 13.2; 3.9; -0.1; 13.1
22.2; 4.002; 3.2; -0.2; 10.9; 3.2; -0.2; 10.7; 3.9; -0.2; 13.3; 3.9; -0.2; 13.1
22.5; 4.033; 3.2; -0.3; 11.0; 3.2; -0.3; 10.7; 3.9; -0.4; 13.4; 3.9; -0.3; 13.0
22.8; 4.063; 3.2; -0.4; 11.1; 3.2; -0.4; 10.7; 3.9; -0.5; 13.5; 3.9; -0.4; 13.0
23.1; 4.094; 3.2; -0.5; 11.2; 3.2; -0.5; 10.6; 3.9; -0.6; 13.5; 3.9; -0.5; 13.0
23.4; 4.124; 3.2; -0.5; 11.2; 3.2; -0.5; 10.7; 3.9; -0.6; 13.6; 3.9; -0.6; 13.0
23.7; 4.154; 3.1; -0.5; 11.3; 3.1; -0.5; 10.7; 3.8; -0.6; 13.6; 3.8; -0.6; 13.0
24.0; 4.185; -3.7; -0.5; 12.9; -3.7; -0.5; 12.4; -2.5; -0.6; 11.7; -2.5; -0.5; 11.2
24.3; 4.216; -3.7; -0.5; 12.8; -3.7; -0.5; 12.3; -2.5; -0.5; 11.6; -2.5; -0.5; 11.1
24.6; 4.247; -3.7; -0.4; 12.7; -3.7; -0.4; 12.3; -2.5; -0.4; 11.5; -2.5; -0.4; 11.1
24.9; 4.279; -3.7; -0.3; 12.5; -3.7; -0.3; 12.2; -2.5; -0.3; 11.3; -2.5; -0.3; 11.0
25.2; 4.311; -3.7; -0.2; 12.4; -3.7; -0.2; 12.2; -2.5; -0.2; 11.2; -2.5; -0.2; 11.0
25.5; 4.344; -3.7; -0.1; 12.3; -3.7; -0.1; 12.2; -2.5; -0.1; 11.0; -2.5; -0.1; 10.9
25.8; 4.378; -3.6; -0.0; 12.2; -3.6; -0.0; 12.1; -2.5; -0.0; 10.9; -2.5; -0.0; 10.9
26.1; 4.412; -3.6; 0.0; 12.1; -3.6; 0.0; 12.1; -2.5; 0.0; 10.8; -2.5; 0.0; 10.8
26.4; 4.447; -3.6; 0.0; 12.0; -3.6; 0.0; 12.0; -2.4; 0.0; 10.7; -2.4; 0.0; 10.7
26.7; 4.483; -3.6; 0.0; 11.9; -3.6; 0.0; 11.9; -2.4; 0.0; 10.6; -2.4; 0.0; 10.6
